,cid,smiles,NR3C1
0,2853908,CCN1C2C(Nc3ccccc13)N=C(OC)C2c4ccccc4,0
1,44825297,Oc1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3ccc4NC(=O)Cc4c3,0
2,107867,CCN(CC)CC1CCCCN1CC(=O)N2c3ccccc3C(=O)Nc4cccnc24,0
3,2381,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,0
4,16746329,COc1ccc(cc1)C(CC(=O)N2CCCC(C)C2)c3c(O)cc(OC)cc3OC,0
5,3182,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,1
6,2119,CC(C)NCC(O)COc1ccccc1CC=C,0
7,3606,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,0
8,6305587,CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1,0
9,5152,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc2ccccc2,0
10,2474,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,0
11,4418,COc1ccccc1N2CCN(CC(O)COc3cccc4ccccc34)CC2,0
12,44460172,CCC(=O)NC(c1occc1)c2cc(Br)c3cccnc3c2O,0
13,44142102,COc1ccc(cc1OC2CCOC2)C3=Nn4c(SC3)nnc4c5ccccc5C(F)(F)F,0
14,4507,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC)C,1
15,6710614,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0
16,4898145,CC1CC(C)(C)N2C(=O)C3(Nc4ccccc4S3)c5cccc1c25,0
17,25243794,CC(O)c1cc2c(s1)c3C=NN(Cc4ccccc4F)C(=O)c3n2C,0
18,24707,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@]2(O)C#C,0
19,2949965,CC(Nc1nc(nc2ccccc12)N3CCCC3)c4ccccc4,0
20,41049,CCC1(CCCCN(C)C1)c2cccc(O)c2,0
21,2369,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0
22,44629410,COc1ccc(cc1OC)C(=O)C2CCCN(CCc3ccccc3)C2,0
23,4062,CN1CCCCC1C(=O)Nc2c(C)cccc2C,0
24,123686,OC(CNCCNC(=O)Nc1ccccc1)COc2ccccc2C#N,0
25,3156173,CC(C)c1ccc(cc1)C2C3CN(C)CC=C3C(C#N)(C#N)C(=C2C#N)N,0
26,3237298,COc1ccccc1C2N3CCCC3C(=O)N2c4ccc(Cl)cc4,0
27,3921071,[O-][N+](=O)c1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1,0
28,21157,CCCCS(=N)(=O)CCC(N)C(=O)O,0
29,44142123,CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c2ccccc2,0
30,1225,Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c3ccccc3,0
31,2725,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,0
32,132252,CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1,1
33,2460,CCCC(=O)Nc1ncnc2c1ncn2C3OC4COP(=O)(O)OC4C3OC(=O)CCC,0
34,34677,NC1CCc2ccccc2C1,0
35,444,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
36,2303,COC(=O)C1=C(C)NC(=C(C1c2ccccc2C(F)(F)F)[N+](=O)[O-])C,0
37,4133412,NC(C(OCc1ccccc1)C(=O)O)C(=O)O,0
38,5405,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,1
39,3387354,O=C1NC(=O)c2c1c3c4ccccc4n5C6CCC(O6)n7c8ccccc8c2c7c35,0
40,16187238,CC(C)Oc1cccc(c1)C(=O)C2CCCN(Cc3cnn(c3)C(C)C)C2,0
41,3409332,CC(Sc1nc2cc(Cl)ccc2s1)C(=O)Nc3cccc(c3)S(=O)(=O)N4CCOCC4,0
42,4519822,CCOC(=O)C1=C(C)NC(=C(C1C#Cc2ccccc2)C(=O)OCc3ccc(cc3)[N+](=O)[O-])c4ccccc4,0
43,4879301,O=C1N(Cc2ccccc2)c3ccccc3C14NNc5ccccc5O4,0
44,1148,NC(Cc1c[nH]c2ccccc12)C(=O)O,0
45,3869,CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N,0
46,2977478,CCOc1ccc(cc1)C(Nc2cccnc2)c3cc(Cl)c4cccnc4c3O,0
47,10251,O=C1CC(Oc2ccccc12)c3ccccc3,0
48,5665,NC(CCC(=O)O)C=C,0
49,4106,CSc1ccc2Sc3ccccc3CC(N4CCN(C)CC4)c2c1,0
50,3270699,CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O,0
51,107751,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc2ccccc2,0
52,4053,NC(Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O,0
53,3326,CC(C)C1=C(CN(C)C(C)Cc2ccccc2)N(C)N(C1=O)c3ccccc3,0
54,25109909,CCOC(=O)CCCC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12,0
55,278679,COC1=CC23CCCN2CCc4cc5OCOc5cc4C3C1O,0
56,2092,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C3CCCO3,0
57,5702094,CC(=O)O[C@]1(CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]12C)C#C,0
58,3356,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2,0
59,44640137,CCC(OC(=O)c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)C)C(=O)NC2C3CC4CC(CC2C4)C3,0
60,3306,CCNCC(O)c1cccc(O)c1,0
61,2803185,CSC1=C(C#N)C(=O)NC(S1)c2ccc(Cl)cc2,0
62,91536,CC(C)NC[C@H](O)COc1cccc2ccccc12,1
63,2956728,Clc1ccc(Cn2cc(NC(=S)NCC3CCCO3)cn2)cc1,0
64,44483253,CC(=O)C1C(=O)[C@@H]2[C@@H]3[C@@H](Cc4cccc5[nH]cc3c45)C(C)(C)N2C1=O,0
65,11373846,CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3cc4cn[nH]c4cc3F,0
66,2585,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,0
67,17757094,CC(Nc1ncnc2ccc(cc12)c3c(C)onc3C)c4occc4,0
68,25109911,O=C(N(C(=O)c1ccccc1)c2ncnc3Oc4ccc5ccccc5c4C(c6ccccc6)c23)c7ccccc7,0
69,23760137,NC1=NC(=O)N(C=N1)C2O[C@H](CO)[C@@H](O)[C@H]2O,0
70,3503044,CC(C)C1COc2cc3OC(=O)C=Cc3cc2O1,0
71,25109912,CCOC(=O)CC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12,0
72,72067,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc3CCC(=C4C=C(O)C(=CC=C4c3c1OC)SC)NC(=O)C,0
73,3003565,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)C)[C@]1(C)c23,0
74,16759157,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c4ncnc1c24,0
75,16745401,CC(OC1OC(CO)C(O)C(O)C1O)\C=C\C2(O)C(C)CC(O)CC2(C)C,0
76,37175,Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1,0
77,2129,CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc2ccc(NS(=O)(=O)C)cc2,0
78,3193014,CC1CCc2c(C1)sc3nc(C)nc(N4CCN(CC4)C(=O)c5occc5)c23,0
79,44246498,COc1cccc(CN2N=Cc3c(C2=O)n(C)c4cc(sc34)S(=O)C)c1,0
80,3958,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,0
81,16190867,CCCn1ncc(CN2CCCC(C2)C(=O)c3cccc(OC(C)C)c3)c1C,0
82,216345,COc1ccc(C2=NC(C(N2C(=O)N3CCNC(=O)C3)c4ccc(Cl)cc4)c5ccc(Cl)cc5)c(OC(C)C)c1,0
83,9883029,CNC(=O)c1ccc2cc(ccc2c1)C3(O)CCn4cncc34,0
84,3111211,Cc1cc(C)c(NC(=O)C2CC3CCC2C3)c(C)c1,0
85,2965120,Oc1cccnc1NC(=O)CCC2COc3ccccc3O2,0
86,5591,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,0
87,3157,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,0
