cid,smiles,NR3C1
5024764,CC(C)(C)c1cc(CC(C)(C)CO)cc(c1O)C(C)(C)C,1
39186,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,1
3185,Cc1cccc(CCN2CCC(CC2)C(=O)c3ccc(NS(=O)(=O)C)cc3)n1,1
4917,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,1
3448,Oc1noc2CNCCc12,1
4497,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC(C)C)C,1
4843,NC(=O)CN1CCCC1=O,1
4039,CN(C)CCOC(=O)COc1ccc(Cl)cc1,1
3235398,COc1cccc(c1)c2ccc3ncnc(NCc4cccs4)c3c2,1
2153,CN1C(=O)N(C)c2[nH]cnc2C1=O,1
5319,Nc1ccc(cc1)S(=O)(=O)NC(=O)c2ccccc2,1
5166,COc1nccc(n1)c2c(ncn2C3CCC(O)CC3)c4ccc(F)cc4,1
3820,Brc1ccc2[nH]c3c(CC(=O)Nc4ccccc34)c2c1,1
4891,O=C(C1CCCCC1)N2CC3N(CCc4ccccc34)C(=O)C2,1
2733484,Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc3ccc(Cl)cc3,1
2782,Clc1ccc(Cn2c(CN3CCCC3)nc4ccccc24)cc1,1
3053,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,1
54841,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1
5585,CC1=CC(=O)Oc2c(C)c3oc(C)cc3cc12,1
9604992,Clc1cccc(C=NC=Nc2cccc(Cl)c2)c1,1
19529,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2occc2)cc1,1
933171,COc1cc(ccc1O)C(=O)O[C@H]2C[C@H]3CC[C@@H](C2)N3C,1
5504,C(C1=NCCN1)c2ccccc2,1
4760,O=C1C(C(=O)c2ccccc12)c3ccccc3,1
3276,OCCNC(=O)Cn1ccnc1[N+](=O)[O-],1
3372,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,1
2471,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,1
5707,Cc1cccc(C)c1NC2=NCCCS2,1
4993,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,1
2764,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,1
108137,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,1
4632,COc1ccc(C(=O)c2ccccc2)c(O)c1,1
121930,Nc1ccc(CCN2CCN(CC2)c3cccc(c3)C(F)(F)F)cc1,1
3392731,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC3CCCCC3)cc1)C(=O)O,1
5328804,NC(=C(C#N)C#N)\C(=C\c1ccc(O)cc1)\C#N,1
104999,CCc1c(ncc2[nH]c3cc(OC)c(OC)cc3c12)C(=O)OC,1
4806,OC(=O)c1ccccc1C(=O)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3,1
5175,CCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1
4855,CCN1C=C(C(=O)O)C(=O)c2cnc(nc12)N3CCCC3,1
4781,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,1
6604909,CN(CC[C@@H](Oc1ccc(cc1)c2ccccc2)c3ccc(F)cc3)CC(=O)O,1
5566,CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,1
1797,CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,1
4594,COc1ccc2nc([nH]c2c1)S(=O)Cc3ncc(C)c(OC)c3C,1
133008,Cc1c(onc1C2CCN(CCc3ccccc3)CC2)c4ccc(Cl)cc4,1
4284525,COC(=O)Nc1ccc2[nH]cc(CCNC(=O)C)c2c1,1
3194,O=C1N([Se]c2ccccc12)c3ccccc3,1
134230,CC(=O)OCCNC(=O)c1cccnc1,1
54562,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12,1
176158,Cn1cc(C2=C(C(=O)NC2=O)c3ccc(Cl)cc3Cl)c4ccccc14,1
3739601,CNc1nc(N)c(c(Nc2ccc(F)cc2)n1)[N+](=O)[O-],0
